file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\MoveDownTrack.java,com.Command.MoveDownTrack,class,3,5,2,3,7,1,0,3,0,0.22222222,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,2,21,0,0,0,0,0,0,6,4,4,4,1,0,0,0,94,1,0
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\RemovePlaylist.java,com.Command.RemovePlaylist,class,4,5,1,4,9,1,0,9,0,0.083333336,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,34,0,0,4,2,0,2,3,5,2,4,3,0,0,0,57,1,0
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\TrackDAO.java,com.DataLayer.DAO.Track.TrackDAO,class,6,13,7,6,24,1,0,35,34,0.7777778,0.0,0.0,9,0,7,2,0,0,7,0,0,0,1,0,0,1,0,0,1,0,7,128,6,3,7,8,0,22,19,36,2,32,3,0,0,0,222,1,0
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Strategy\ShuffleStrategy.java,com.Strategy.ShuffleStrategy,class,3,5,2,3,11,1,0,7,0,0.53333336,0.0,0.0,5,0,4,1,0,0,4,0,0,0,3,0,0,3,0,0,1,0,0,31,5,1,5,0,0,0,3,9,0,6,1,0,0,0,96,1,0
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\ITrackDAO.java,com.DataLayer.DAO.Track.ITrackDAO,interface,1,2,1,1,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,1,0
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\playback\PlaybackTimerManager.java,com.Controller.playback.PlaybackTimerManager,class,5,11,6,5,11,1,0,11,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,1,49,1,0,6,0,0,1,4,6,2,8,1,0,0,2,28,1,0
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\track\ITrackImporter.java,com.Controller.track.ITrackImporter,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Model\LocalTrackFactory.java,com.Model.LocalTrackFactory,class,4,5,1,4,3,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,1,0,3,1,3,1,0,0,0,110,1,0
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\navigation\ViewNavigator.java,com.Controller.navigation.ViewNavigator,class,7,8,1,7,5,1,0,15,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,34,0,0,1,1,0,1,0,6,0,6,1,0,0,0,59,1,0
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\DatabaseManager.java,com.DataLayer.DAO.DatabaseManager,class,1,6,5,1,11,1,0,8,2,0.5,0.0,0.0,4,3,3,1,0,0,3,0,0,0,2,2,0,2,0,0,0,0,3,37,1,0,2,2,0,5,0,4,0,2,3,0,0,0,102,1,0
