file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\MoveDownTrack.java,com.Command.MoveDownTrack,"MoveDownTrack/2[com.Command.ObservableList<com.Model.Track>,com.Model.Track]",true,23,2,2,2,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\MoveDownTrack.java,com.Command.MoveDownTrack,execute/0,false,35,0,0,0,0,3,3,7,0,1,0,3,0,0,0,0,0,0,0,3,2,2,1,0,0,0,36,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\MoveDownTrack.java,com.Command.MoveDownTrack,undo/0,false,49,0,0,0,0,3,2,5,0,0,0,2,0,0,0,0,0,0,0,3,0,2,1,0,0,0,29,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\RemovePlaylist.java,com.Command.RemovePlaylist,"RemovePlaylist/3[com.Model.PlaylistCatalog,com.Model.Playlist,com.DataLayer.DAO.Playlist.PlaylistDAO]",true,31,3,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,32,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\RemovePlaylist.java,com.Command.RemovePlaylist,execute/0,false,43,3,4,0,4,4,7,12,0,0,0,7,0,0,0,2,1,0,1,1,1,1,3,0,0,0,26,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\RemovePlaylist.java,com.Command.RemovePlaylist,undo/0,false,63,2,2,0,2,4,4,11,0,0,0,4,0,0,0,2,1,0,1,1,0,1,3,0,0,0,23,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\TrackDAO.java,com.DataLayer.DAO.Track.TrackDAO,mapRowToTrack/1[java.sql.ResultSet],false,215,3,6,3,3,6,11,25,1,7,1,11,0,0,0,3,0,0,13,1,11,0,1,0,0,0,68,2,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\TrackDAO.java,com.DataLayer.DAO.Track.TrackDAO,update/1[com.Model.Track],false,64,3,5,2,3,2,6,12,1,3,1,6,1,1,0,1,1,0,3,1,3,1,1,0,0,0,46,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\TrackDAO.java,com.DataLayer.DAO.Track.TrackDAO,getFrequentlyPlayed/1[int],false,127,3,2,0,2,2,7,14,1,5,1,7,1,1,1,0,2,0,1,1,5,0,3,0,0,0,58,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\TrackDAO.java,com.DataLayer.DAO.Track.TrackDAO,save/1[com.Model.Track],false,42,3,5,3,2,2,4,11,1,3,1,4,1,1,0,1,1,0,2,0,3,1,1,0,0,0,44,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\TrackDAO.java,com.DataLayer.DAO.Track.TrackDAO,"setTrackParameters/2[java.sql.PreparedStatement,com.Model.Track]",false,151,1,12,2,10,6,16,27,0,0,2,16,0,0,0,2,0,0,0,14,0,0,1,0,0,0,44,2,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\TrackDAO.java,com.DataLayer.DAO.Track.TrackDAO,getTracksByPlaylist/1[java.lang.String],false,188,3,3,1,2,2,7,14,1,5,1,7,1,1,1,0,2,0,1,1,5,0,3,0,0,0,58,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\TrackDAO.java,com.DataLayer.DAO.Track.TrackDAO,delete/1[java.lang.String],false,89,1,3,2,1,1,4,8,0,3,1,4,0,0,0,0,1,0,1,1,3,0,1,0,0,0,40,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\TrackDAO.java,com.DataLayer.DAO.Track.TrackDAO,TrackDAO/1[com.Model.TrackFactory],true,32,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\TrackDAO.java,com.DataLayer.DAO.Track.TrackDAO,getAll/0,false,105,3,3,1,2,2,6,11,1,5,0,6,1,1,1,0,1,0,1,0,5,0,2,0,0,0,44,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Strategy\ShuffleStrategy.java,com.Strategy.ShuffleStrategy,previousTrack/1[com.Model.Track],false,71,2,1,0,1,1,1,3,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Strategy\ShuffleStrategy.java,com.Strategy.ShuffleStrategy,"setQueue/2[java.util.List<com.Model.Track>,com.Model.Track]",false,29,1,0,0,0,2,0,4,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,24,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Strategy\ShuffleStrategy.java,com.Strategy.ShuffleStrategy,updateQueue/1[java.util.List<com.Model.Track>],false,39,1,0,0,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,15,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Strategy\ShuffleStrategy.java,com.Strategy.ShuffleStrategy,nextTrack/1[com.Model.Track],false,51,2,2,1,1,4,5,8,3,2,1,5,1,1,0,2,0,0,0,3,3,0,1,0,0,0,29,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Strategy\ShuffleStrategy.java,com.Strategy.ShuffleStrategy,"pickRandomIndex/2[java.util.List<com.Model.Track>,int]",false,83,1,1,1,0,2,2,8,1,1,2,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,29,2,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\ITrackDAO.java,com.DataLayer.DAO.Track.ITrackDAO,save/1[com.Model.Track],false,14,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\ITrackDAO.java,com.DataLayer.DAO.Track.ITrackDAO,getFrequentlyPlayed/1[int],false,43,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\ITrackDAO.java,com.DataLayer.DAO.Track.ITrackDAO,delete/1[java.lang.String],false,29,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\ITrackDAO.java,com.DataLayer.DAO.Track.ITrackDAO,getAll/0,false,36,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\Track\ITrackDAO.java,com.DataLayer.DAO.Track.ITrackDAO,update/1[com.Model.Track],false,21,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\playback\PlaybackTimerManager.java,com.Controller.playback.PlaybackTimerManager,resume/0,false,56,0,1,1,0,3,1,8,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\playback\PlaybackTimerManager.java,com.Controller.playback.PlaybackTimerManager,pause/0,false,45,0,2,2,0,3,1,8,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\playback\PlaybackTimerManager.java,com.Controller.playback.PlaybackTimerManager,"start/3[com.Model.Track,java.util.function.Consumer<java.lang.Integer>,java.lang.Runnable]",false,17,5,3,1,2,1,8,15,0,3,3,8,1,1,0,0,0,0,0,2,4,0,1,0,0,2,17,1,0,false
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\playback\PlaybackTimerManager.java,com.Controller.playback.PlaybackTimerManager,stop/0,false,34,0,8,8,0,3,1,8,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\playback\PlaybackTimerManager.java,com.Controller.playback.PlaybackTimerManager,getFormattedTime/1[int],false,65,0,1,1,0,1,1,5,1,2,1,1,0,0,0,0,0,0,1,2,2,2,0,0,0,0,7,1,0,false
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\track\ITrackImporter.java,com.Controller.track.ITrackImporter,selectAudioFile/1[com.Controller.track.Window],false,10,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Model\LocalTrackFactory.java,com.Model.LocalTrackFactory,"instantiateTrack/8[java.lang.String,java.lang.String,int,java.lang.String,int,java.lang.String,java.lang.String,com.Model.TrackTag]",false,41,3,3,0,3,3,4,10,1,3,8,4,0,0,0,0,0,0,1,0,3,1,1,0,0,0,92,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\navigation\ViewNavigator.java,com.Controller.navigation.ViewNavigator,loadPlaylistView/1[com.Model.Playlist],false,29,6,6,1,5,2,13,16,0,3,1,13,0,0,0,0,1,0,1,0,3,0,1,0,0,0,31,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\navigation\ViewNavigator.java,com.Controller.navigation.ViewNavigator,"ViewNavigator/2[com.Controller.navigation.StackPane,com.Controller.core.MainController]",true,20,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,false
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\navigation\ViewNavigator.java,com.Controller.navigation.ViewNavigator,restoreMainLibraryView/1[com.Controller.navigation.Node],false,51,4,6,1,5,2,8,10,0,1,1,8,0,0,0,1,0,0,0,0,1,0,1,0,0,0,21,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\DatabaseManager.java,com.DataLayer.DAO.DatabaseManager,setTestMode/1[boolean],false,58,1,1,0,1,2,1,6,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,12,9,0,false
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\DatabaseManager.java,com.DataLayer.DAO.DatabaseManager,DatabaseManager/0,true,22,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\DatabaseManager.java,com.DataLayer.DAO.DatabaseManager,getConnection/0,false,31,0,14,14,0,4,5,13,1,0,0,5,0,0,0,1,1,0,3,0,1,0,2,0,0,0,62,9,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\DataLayer\DAO\DatabaseManager.java,com.DataLayer.DAO.DatabaseManager,closeConnection/0,false,45,0,2,2,0,4,3,12,0,0,0,3,0,0,0,1,1,0,0,0,0,0,3,0,0,0,9,9,0,false
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\ModifyTrack.java,com.Command.ModifyTrack,execute/0,false,102,2,2,0,2,3,4,9,0,0,0,4,0,0,0,1,1,0,1,0,0,1,2,0,0,0,32,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\ModifyTrack.java,com.Command.ModifyTrack,"ModifyTrack/11[com.Model.Library,com.Model.Track,java.lang.String,java.lang.String,int,java.lang.String,int,java.lang.String,java.lang.String,com.Model.TrackTag,com.DataLayer.DAO.Track.TrackDAO]",true,49,4,9,1,8,1,8,21,0,0,11,8,0,0,0,0,0,0,0,0,19,0,0,0,0,0,66,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\ModifyTrack.java,com.Command.ModifyTrack,undo/0,false,83,2,2,0,2,3,4,9,0,0,0,4,0,0,0,1,1,0,1,0,0,1,2,0,0,0,43,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\MoveUpTrack.java,com.Command.MoveUpTrack,"MoveUpTrack/2[com.Command.ObservableList<com.Model.Track>,com.Model.Track]",true,24,2,2,2,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\MoveUpTrack.java,com.Command.MoveUpTrack,execute/0,false,36,0,0,0,0,2,2,7,0,1,0,2,0,0,0,0,0,0,0,2,2,1,1,0,0,0,28,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Command\MoveUpTrack.java,com.Command.MoveUpTrack,undo/0,false,51,0,0,0,0,2,1,5,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,35,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\playlist\PlaylistController.java,com.Controller.playlist.PlaylistController,getSelectedTrack/0,false,165,1,4,4,0,2,2,6,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\playlist\PlaylistController.java,com.Controller.playlist.PlaylistController,clearSelection/0,false,151,0,0,0,0,2,2,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,14,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\playlist\PlaylistController.java,com.Controller.playlist.PlaylistController,handleMoveDownPlaylist/1[com.Controller.playlist.ActionEvent],false,278,10,8,0,8,4,10,12,0,4,1,10,2,1,0,1,0,0,0,3,4,2,2,0,0,0,18,2,0,false
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\playlist\PlaylistController.java,com.Controller.playlist.PlaylistController,setPlaylistData/1[com.Model.Playlist],false,122,1,3,1,2,1,4,5,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\playlist\PlaylistController.java,com.Controller.playlist.PlaylistController,dispose/0,false,257,3,4,1,3,2,3,5,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\playlist\PlaylistController.java,com.Controller.playlist.PlaylistController,getPlaylistTrackList/0,false,161,2,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
C:\Dev\Projects\Uni\Software_design\Gruppo-01SAD\src\main\java\com\Controller\playlist\PlaylistController.java,com.Controller.playlist.PlaylistController,handleMoveUpPlaylist/1[com.Controller.playlist.ActionEvent],false,264,10,7,0,7,3,9,11,0,3,1,9,2,1,0,1,0,0,0,2,3,1,2,0,0,0,17,2,0,false
